id;transaction_id;user_id;description;jhi_type;total
1;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin
2;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge
3;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
4;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account
5;Branding Dynamic black;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid
6;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust
7;user-centric Infrastructure;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;Direct
8;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical;Pakistan
9;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined
10;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania
